n_left,node_id,ni_idx,ni_node_type,ni_N_link_u,ni_N_link_d,ni_Mlink_u1,ni_Mlink_u2,ni_Mlink_u3,ni_Mlink_d1,ni_Mlink_d2,ni_Mlink_d3,,
17,1,0,0,0,1,-998877,-998877,-998877,0,-998877,-998877,-998877,-998877
16,2,1,0,2,1,0,16,-998877,1,-998877,-998877,-998877,-998877
15,4,2,0,2,1,2,15,-998877,3,-998877,-998877,-998877,-998877
14,5,3,0,3,1,3,10,11,4,-998877,-998877,-998877,-998877
13,6,4,0,2,1,4,14,-998877,5,-998877,-998877,-998877,-998877
12,7,5,0,1,1,5,-998877,-998877,6,-998877,-998877,-998877,-998877
11,9,6,0,0,1,-998877,-998877,-998877,16,-998877,-998877,-998877,-998877
10,10,7,0,1,1,17,-998877,-998877,15,-998877,-998877,-998877,-998877
9,11,8,0,0,1,-998877,-998877,-998877,7,-998877,-998877,-998877,-998877
8,12,9,0,0,1,-998877,-998877,-998877,8,-998877,-998877,-998877,-998877
7,13,10,0,2,1,7,8,-998877,9,-998877,-998877,-998877,-998877
6,14,11,0,1,1,9,-998877,-998877,10,-998877,-998877,-998877,-998877
5,16,12,0,0,1,-998877,-998877,-998877,13,-998877,-998877,-998877,-998877
4,17,13,0,2,1,12,13,-998877,14,-998877,-998877,-998877,-998877
3,8,14,1,1,0,6,-998877,-998877,-998877,-998877,-998877,-998877,-998877
2,3,15,3,1,2,1,-998877,-998877,2,17,-998877,-998877,-998877
1,15,16,3,0,2,-998877,-998877,-998877,11,12,-998877,-998877,-998877
